species,m_body_size,unsexed_body_size,m_bill_size,unsexed_bill_size
Piranga olivacea,29.3,28.95,,
Piranga rubra,29.1,29.65,17.5,
Pitangus sulphuratus,,74.0,28.7,
Plectrophenax hyperboreus,42.9,,12.2,
Plectrophenax nivalis,38.7,,,
Plegadis chihi,679.0,,135.6,
Plegadis falcinellus,662.5,,132.0,
Pluvialis dominica,145.0,,23.2,
Pluvialis fulva,130.0,,24.1,
Pluvialis squatarola,240.4,,28.9,
Podiceps auritus,,449.5,23.3,
Podiceps grisegena,873.5,,,
Podiceps nigricollis,333.5,,23.4,
Podilymbus podiceps,522.0,445.5,,
Polioptila caerulea,6.1,,9.9,
Polioptila californica,6.1,,9.8,
Polioptila melanura,5.1,5.1,8.9,
Polysticta stelleri,773.0,,,
Pooecetes gramineus,24.0,,8.77,
Porphyrio porphyrio,869.0,,44.6,
Porzana carolina,88.0,,20.0,
Procellaria parkinsoni,723.0,,41.7,
Progne chalybea,42.0,42.0,,
Progne subis,50.0,50.5,11.4,
Protonotaria citrea,14.3,,14.4,
Prunella montanella,17.4,,13.5,
Psaltriparus minimus,,5.3,,
Psarocolius wagleri,205.6,205.6,,
Psilorhinus morio,243.0,243.0,,
Psittacula krameri,139.5,,23.8,
Pterodroma inexpectata,302.0,,26.8,
Pterodroma macroptera,668.0,,36.5,
Pterodroma phaeopygia,430.0,,,
Puffinus assimilis,,,,26.1
Puffinus bulleri,345.0,,42.5,
Puffinus pacificus,457.0,,45.7,
Puffinus puffinus,537.0,,35.0,
Puffinus tenuirostris,560.0,560.0,31.8,
Pyrocephalus rubinus,12.4,,9.24,
Quiscalus major,206.5,,,
Quiscalus mexicanus,221.5,,31.34,
Quiscalus quiscula,119.6,,30.1,
Rallus elegans,,415.0,62.5,
Rallus limicola,89.4,89.0,40.2,
Rallus longirostris,269.0,,61.0,
Ramphocaenus melanurus,10.4,10.4,,
Ramphocelus passerinii,31.9,31.9,,
Recurvirostra americana,323.4,,89.6,
Regulus calendula,6.9,,,
Regulus satrapa,6.3,5.92,,6.875
Rhodostethia rosea,,,19.3,
Rhynchopsitta pachyrhyncha,337.0,,38.7,
Riparia riparia,12.7,,9.9,
Rissa brevirostris,400.0,,,
Rissa tridactyla,443.0,,34.2,
Rostrhamus sociabilis,394.0,,,
Rynchops niger,349.0,,69.5,
Salpinctes obsoletus,,16.5,17.8,
Saltator maximus,,47.0,,
Sayornis nigricans,19.0,,11.4,
Sayornis saya,,21.2,15.7,
Scolopax minor,168.4,,63.9,
Selasphorus platycercus,3.2,,17.6,
Selasphorus rufus,3.3,,17.0,
Selasphorus sasin,2.9,,15.92,
Serinus canaria,15.2,,11.9,
Serinus mozambicus,12.9,,11.8,
Setophaga ruticilla,8.6,8.6,8.5,
Sialia currucoides,,29.6,10.2,
Sialia mexicana,25.8,29.0,11.63,
Sialia sialis,27.9,29.95,,
Sicalis flaveola,20.9,20.9,,
Sitta canadensis,11.0,9.8,14.1,
Sitta carolinensis,,21.1,19.1,
Sitta pusilla,10.1,10.1,,
Sitta pygmaea,10.3,10.6,10.58,
Somateria fischeri,1432.0,,,
Somateria mollissima,2218.0,2096.0,,
Somateria spectabilis,1668.0,,,
Sphyrapicus nuchalis,50.5,,22.5,
Sphyrapicus ruber,58.3,,25.1,
Sphyrapicus thyroideus,47.6,,25.6,
Sphyrapicus varius,,50.3,23.4,
Spiza americana,28.5,,17.0,
Spizaetus ornatus,1035.0,,,
Spizella arborea,18.6,,9.9,
Spizella atrogularis,11.2,,8.4,
Spizella breweri,8.9,,7.6,
Spizella pallida,11.7,,,9.4
Spizella passerina,12.1,,9.3,
Spizella pusilla,13.2,,10.5,
Sporophila torqueola,,,,
Stelgidopteryx serripennis,14.5,,5.02,
Stellula calliope,2.7,39.55,14.2,
Stercorarius longicaudus,269.9,,,
Stercorarius parasiticus,361.0,,31.1,
Stercorarius pomarinus,648.0,,39.8,
Sterna dougallii,,,,
Sterna hirundo,124.0,,37.1,
Sterna paradisaea,112.0,,,
Streptopelia chinensis,163.6,,15.8,
Streptopelia decaocto,197.0,,16.9,
Streptopelia roseogrisea,,149.0,16.1,
Strix nebulosa,884.0,,41.1,
Strix occidentalis,579.0,,36.8,
Strix varia,621.9,,23.5,
Sturnella magna,98.3,,21.2,
Sturnella neglecta,106.0,,,
Sturnus vulgaris,82.7,,29.8,
Sula dactylatra,2000.0,,109.0,
Sula leucogaster,1188.6,,97.2,
Sula nebouxii,1283.0,,106.0,
Sula sula,928.0,,85.1,
Surnia ulula,270.0,,24.1,
Synthliboramphus antiquus,206.3,,,
Synthliboramphus hypoleucus,166.1,,17.0,
Tachybaptus dominicus,139.3,,14.32,
Tachycineta bicolor,21.7,20.0,6.84,
Tachycineta thalassina,14.4,,5.1,
Thraupis episcopus,,34.0,,
Thryomanes bewickii,,9.9,14.1,
Thryothorus ludovicianus,20.3,20.3,12.2,
Tinamus major,1059.0,1059.0,,
Toxostoma bendirei,,62.2,24.3,
Toxostoma crissale,,62.7,30.3,
Toxostoma curvirostre,80.9,79.4,28.97,
Toxostoma guttatum,,52.8,,
Toxostoma lecontei,62.1,,27.32,
Toxostoma longirostre,,67.5,,25.8
Toxostoma redivivum,,84.4,36.3,
Toxostoma rufum,69.0,,24.9,
Tringa brevipes,,,,
Tringa erythropus,142.0,,57.4,
Tringa flavipes,80.0,,36.0,
Tringa glareola,62.0,,28.3,
Tringa incana,101.0,,38.5,
Tringa melanoleuca,164.0,,55.8,
Tringa nebularia,172.0,,55.1,
Tringa solitaria,45.1,,29.2,
Troglodytes aedon,10.9,11.15,12.0,
Trogon elegans,,67.3,17.7,
