,,,,,,,TAXONOMIC SOURCES,,,,,,,,,,,,,,,,,,,,
Cracidae,Guans and curassows,Rusty-margined Guan,Penelope superciliaris,"Temminck, 1815",R,LC,,,,,,,,,Y,Y,Y,,,,,,,77,,,
Cracidae,Guans and curassows,Red-faced Guan,Penelope dabbenei,"Hellmayr & Conover, 1942",R,LC,,,,,,,,,Y,Y,Y,,,,,,,78,,,
Cracidae,Guans and curassows,Crested Guan,Penelope purpurascens,"Wagler, 1830",R,LC,,Y,,,,,,,Y,Y,Y,,,,,,,79,,,
Cracidae,Guans and curassows,Cauca Guan,Penelope perspicax,"Bangs, 1911",R,EN,,,,,,,,,Y,Y,Y,,,,,,,80,,,
Cracidae,Guans and curassows,White-winged Guan,Penelope albipennis,"Taczanowski, 1878",R,CR,,,,,,,,,Y,Y,Y,,,,,,,81,,,
Cracidae,Guans and curassows,Spix's Guan,Penelope jacquacu,"Spix, 1825",R,LC,,,,,,,,,Y,Y,Y,,,,,,,82,,,
Cracidae,Guans and curassows,Dusky-legged Guan,Penelope obscura,"Temminck, 1815",R,LC,,,,,,,,,Y,Y,Y,,,,,,,83,,,
Cracidae,Guans and curassows,White-crested Guan,Penelope pileata,"Wagler, 1830",R,VU,,,,,,,,,Y,Y,Y,,,,,,,84,,,
Cracidae,Guans and curassows,Chestnut-bellied Guan,Penelope ochrogaster,"Pelzeln, 1870",R,VU,,,,,,,,,Y,Y,Y,,,,,,,85,,,
Cracidae,Guans and curassows,White-browed Guan,Penelope jacucaca,"Spix, 1825",R,VU,,,,,,,,,Y,Y,Y,,,,,,,86,,,
Cracidae,Guans and curassows,Trinidad Piping-guan,Pipile pipile,"(Jacquin, 1784)",R,CR,,,,,,,,,Y,Y,Y,,,,Aburria pipile (11);,Common Piping Guan (15);,,87,,,
Cracidae,Guans and curassows,Blue-throated Piping-guan,Pipile cumanensis,"(Jacquin, 1784)",R,VU,,,,,,,,,Y,Y,,,,,,,,88,,,
Cracidae,Guans and curassows,Red-throated Piping-guan,Pipile cujubi,"(Pelzeln, 1858)",R,LC,,,,,,,,,Y,Y,Y,,,,Aburria cujubi (11);,,,89,,,
Cracidae,Guans and curassows,Black-fronted Piping-guan,Pipile jacutinga,"(Spix, 1825)",R,EN,,,,,,,,,Y,Y,Y,,,,Aburria jacutinga (11);,Black-fronted Piping Guan (15);,,90,,,
Cracidae,Guans and curassows,Wattled Guan,Aburria aburri,"(Lesson, 1828)",R,NT,,,,,,,,,Y,Y,Y,,,,,,,91,,,
Cracidae,Guans and curassows,Plain Chachalaca,Ortalis vetula,"(Wagler, 1830)",R,LC,,Y,,,,,,,,Y,Y,,,,,,,60,,,
Cracidae,Guans and curassows,Grey-headed Chachalaca,Ortalis cinereiceps,"Gray, 1867",R,LC,,Y,,,,,,,Y,Y,Y,,,,,Gray-headed Chachalaca (2); Gray-headed Chachalaca (9);,,61,,,
Cracidae,Guans and curassows,Chestnut-winged Chachalaca,Ortalis garrula,"(Humboldt, 1805)",R,LC,,,,,,,,,Y,Y,Y,,,,,,,62,,,
